node_id,n_tips,height_yrs,hpd_lo_yrs,hpd_hi_yrs,calendar_mean,calendar_hpd_lo,calendar_hpd_hi,posterior
361,14,88.12339356749199,61.549290922965355,117.87842783576849,1936.376606432508,1906.6215721642316,1962.9507090770346,0.5835379606893256
487,14,90.48026750010345,64.86725237151722,119.75804444951422,1934.0197324998965,1904.7419555504857,1959.6327476284828,1.0
345,13,72.69916515573296,52.40790303922711,95.478262891805,1951.800834844267,1929.0217371081949,1972.0920969607728,0.8645015055388273
245,13,34.333716717159525,25.119473927687352,46.34192809756132,1990.1662832828404,1978.1580719024387,1999.3805260723127,0.03542182864634837
81,13,33.35187659142633,23.50455519761715,45.05607463502156,1991.1481234085736,1979.4439253649784,2000.9954448023827,0.12148753902734415
98,13,43.78916351099746,29.90402766162603,58.820344858327076,1980.7108364890025,1965.6796551416728,1994.595972338374,0.07765469272563638
258,13,38.66256456744524,27.616215160410064,51.24961597478432,1985.8374354325547,1973.2503840252157,1996.88378483959,0.9395006722147532
283,13,29.99373039827414,21.556262285320713,39.37366923922525,1994.5062696017258,1985.1263307607746,2002.9437377146792,0.5388051243875068
321,12,35.73502293397258,24.40093067983608,48.0872880136688,1988.7649770660273,1976.4127119863313,2000.0990693201638,0.0312552082754636
46,12,43.766487070650676,30.467561104660547,59.00010388922453,1980.7335129293492,1965.4998961107754,1994.0324388953395,0.42388417906467707
284,12,28.489345980579756,21.022830028263286,37.570708939176825,1996.0106540194201,1986.9292910608233,2003.4771699717367,0.2753636070710325
488,12,83.27014090040626,59.3481805449986,109.63562673168286,1941.2298590995938,1914.8643732683172,1965.1518194550015,0.8204686614593171
346,12,68.56352044857968,49.106619197732954,90.35301727944,1955.9364795514202,1934.1469827205601,1975.393380802267,0.7516249819446451
125,12,31.076235134772777,23.55706143605792,39.6659329164051,1993.4237648652272,1984.8340670835948,2000.942938563942,0.3768958122687526
23,12,43.66920547680105,32.57619233043113,56.24361991764016,1980.8307945231988,1968.2563800823598,1991.9238076695688,0.09311007655470495
136,11,33.54950047519356,24.915565564225574,43.01341799214896,1990.9504995248064,1981.486582007851,1999.5844344357745,0.09534338507349918
47,11,38.69272432343089,26.364724264504446,51.667257839908075,1985.8072756765691,1972.832742160092,1998.1352757354955,0.5737047366140376
362,11,69.77457464533552,47.5517636036364,93.8338945640532,1954.7254253546644,1930.6661054359467,1976.9482363963637,1.0
389,11,57.57177793319118,39.18429973200324,77.88594924134617,1966.9282220668088,1946.6140507586538,1985.3157002679968,0.96984477950245
24,11,38.87224541730623,27.2486254235113,51.3926503298091,1985.6277545826938,1973.1073496701908,1997.2513745764886,0.7789357896023378
259,11,33.050138409944616,24.72398463034267,42.60348078281771,1991.4498615900554,1981.8965192171822,1999.7760153696572,0.9723669737002922
246,11,30.087496794451074,20.28899191918086,40.339343865295575,1994.412503205549,1984.1606561347044,2004.211008080819,0.08664348173909178
71,11,29.552295601768538,20.411173608344768,40.41031883139499,1994.9477043982315,1984.089681168605,2004.0888263916552,0.6379706892145642
229,11,74.13096140558179,52.186198978551175,98.17895752409305,1950.3690385944183,1926.321042475907,1972.3138010214489,1.0
434,11,35.3937133673039,23.0991022590718,49.5336009904064,1989.106286632696,1974.9663990095937,2001.4008977409283,0.6741591760091554
285,11,27.237466981848343,20.3366102874009,35.92475541781005,1997.2625330181518,1988.57524458219,2004.1633897125992,0.049466117043143965
198,10,64.37317280498603,43.69243385909806,87.30035500119703,1960.126827195014,1937.199644998803,1980.807566140902,0.33815179831335207
489,10,54.965456085540055,35.46860779876218,77.56809936709067,1969.5345439144598,1946.9319006329092,1989.0313922012378,0.9994333396295597
146,10,33.29958750756978,23.692067697595633,43.54857595829566,1991.2004124924301,1980.9514240417043,2000.8079323024044,0.2874745836157376
453,10,31.592865081742726,23.14174558464279,41.04602070031547,1992.9071349182573,1983.4539792996845,2001.3582544153571,0.9999222230864101
511,10,49.32990662928461,32.691899948560405,68.54677343918792,1975.1700933707154,1955.953226560812,1991.8081000514396,1.0
417,9,35.055464691677194,21.007960343182674,51.48472830791519,1989.4445353083229,1973.0152716920848,2003.4920396568173,0.9920223108632127
381,9,44.53906979202164,31.14480662291811,60.22516704900772,1979.9609302079784,1964.2748329509923,1993.3551933770818,0.7310252108309908
173,9,27.825049401424895,21.560709728217375,36.59918028041193,1996.6749505985752,1987.900819719588,2002.9392902717827,0.0011888756791591205
218,9,53.8542799706136,37.715201233719995,72.93541332688028,1970.6457200293864,1951.5645866731197,1986.78479876628,0.3021633092965634
72,9,23.67438385574394,17.727661876216416,30.418118146802385,2000.825616144256,1994.0818818531975,2006.7723381237836,0.020633104076621372
270,9,44.19516589682777,31.817132451671085,58.3929696963466,1980.3048341031722,1966.1070303036533,1992.6828675483289,0.02606637704025511
164,9,25.800671793697813,17.02436314909346,36.877259087307834,1998.6993282063022,1987.6227409126923,2007.4756368509065,0.19150898323351961
363,9,54.577502406679166,37.33616680677119,73.52461180585988,1969.922497593321,1950.9753881941401,1987.1638331932288,0.9969111454317174
